IDX,USER_QUERY,IS_VALID,MATCH,NUM_FILTERS_EXP,FILTERS_EXP,OPERATORS_EXP,VALUES_EXP,NUM_FILTERS_ACT,FILTERS_ACT,OPERATORS_ACT,VALUES_ACT
14,"Can you show me the tasks that should be completed between December 12, 2026, and March 8, 2027?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,LatestAcceptableCompletionDate,le,datetime'2027-03-08T00:00:00',2,LatestAcceptableCompletionDate,ge,2026-12-12T00:00:00
,,,,,LatestAcceptableCompletionDate,ge,datetime'2026-12-12T00:00:00',,LatestAcceptableCompletionDate,le,2027-03-08T00:00:00
,,,,,,,,,,,
76,"Can you show me the maintenance orders scheduled to end between August 13, 2027 and December 17, 2027?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedldBscEndDateTime,ge,datetimeoffset'2027-08-13T00:00:00',2,ScheduledBasicEndDate,gt,13/8/27
,,,,,MaintOrdSchedldBscEndDateTime,le,datetimeoffset'2027-12-17T00:00:00',,ScheduledBasicEndDate,lt,17/12/27
,,,,,,,,,,,
94,"Can you show me the maintenance orders that are scheduled to finish between June 13, 2025 and October 15, 2025?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedldBscEndDateTime,le,datetimeoffset'2025-10-15T00:00:00',2,MaintOrdSchedldBscEndDateTime,gt,datetime'2025-06-13T00:00:00'
,,,,,MaintOrdSchedldBscEndDateTime,ge,datetimeoffset'2025-06-13T00:00:00',,MaintOrdSchedldBscEndDateTime,lt,datetime'2025-10-15T23:59:59'
,,,,,,,,,,,
